"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc"
"1093","El Salvador",2027,"Latin America and Caribbean",26832790.1964455,26837257.9129452,26835888.5976495,26839297.6543411,13.4547873395055,65854453504.9849,170212253943.619,0.516049904761905,35.4636780146694,1.64572078310121,826.496620546787,6468696,87986081.6821513
"1094","El Salvador",2028,"Latin America and Caribbean",27190969.8235156,27195517.4574833,27194118.1584952,27197617.7263656,13.4547873395055,67436459063.4281,170562217919.127,0.516049904761905,36.0321215181471,1.64119411817642,831.559643591517,6495144,88642529.4397404
"1095","El Salvador",2029,"Latin America and Caribbean",27544655.9312439,27549252.69257,27547835.0534732,27551388.734425,13.4547873395055,69056468757.5636,171107539179.448,0.516049904761905,36.595874288764,1.63667990414582,836.653682131911,6519921,89279512.5174516
"1096","El Salvador",2030,"Latin America and Caribbean",27892142.1671432,27896771.1279076,27895341.8598573,27898929.2768495,13.4547873395055,70715395551.5222,171843563235.978,0.516049904761905,37.1560851314003,1.63217810676239,841.778926165322,6543241,89899756.1378466
"1097","El Salvador",2031,"Latin America and Caribbean",28216988.6678195,28221636.7461539,28220201.2379804,28223805.5481599,13.4547873395055,72414174341.3507,172765991161.926,0.516049904761905,37.7241333670082,1.62768869187332,846.935566853003,6565207,90504493.3516809
"1098","El Salvador",2032,"Latin America and Caribbean",28515101.7369553,28519761.472998,28518322.6950329,28521934.6511527,13.4547873395055,74153762481.8766,173870864765.117,0.516049904761905,38.3030757272808,1.62321162541974,852.123796527241,6585372,91087367.5175659
"1099","El Salvador",2033,"Latin America and Caribbean",28790108.7302971,28794776.5435179,28793335.9611145,28796950.5102558,13.4547873395055,75935140326.2303,175154552573.04,0.516049904761905,38.890733198737,1.61874687343644,857.343808698526,6604092,91653081.9473874
"1100","El Salvador",2034,"Latin America and Caribbean",29033054.3052029,29037729.0851273,29036287.0038913,29039902.8631788,13.4547873395055,77759311778.3275,176613736591.237,0.516049904761905,39.4937851913633,1.61429440205165,862.595798062771,6621095,92197659.8997161
"1101","El Salvador",2035,"Latin America and Caribbean",29250892.7625232,29255574.0880425,29254130.5272308,29257747.2123009,13.4547873395055,79627304858.6242,178245399798.113,0.516049904761905,40.1079291619644,1.60985417748677,867.879960508577,6636421,92721431.5879493
"1102","El Salvador",2036,"Latin America and Caribbean",29430602.2477132,29435287.6604814,29433843.2868672,29437458.6175227,13.4547873395055,81540172283.4622,180046814341.115,0.516049904761905,40.7430632976745,1.60542616605611,873.196493124533,6649541,93216756.6253753
"1103","El Salvador",2037,"Latin America and Caribbean",29569523.3456441,29574210.7952762,29572766.3606903,29576378.1591995,13.4547873395055,83498992058.3327,182015530401.065,0.516049904761905,41.4020815615022,1.6010103341666,878.545594206569,6660888,93689424.5769689
"1104","El Salvador",2038,"Latin America and Caribbean",29671882.2523999,29676571.0164551,29675126.7560892,29678735.4313359,13.4547873395055,85504868085.3912,184149365693.091,0.516049904761905,42.0830939197816,1.59660664831763,883.927463265357,6669940,94131827.0101378
"1105","El Salvador",2039,"Latin America and Caribbean",29731565.4906703,29736254.9325586,29734811.0505116,29738416.3238464,13.4547873395055,87558930785.5668,186446395574.251,0.516049904761905,42.7918881412934,1.59221507510069,889.342301033745,6677171,94550358.4793832
"1106","El Salvador",2040,"Latin America and Caribbean",29758786.077913,29763475.2183236,29762032.0687278,29765632.2537172,13.4547873395055,89662337735.6165,188904943729.481,0.516049904761905,43.5223772744636,1.58783558119917,894.790309474249,6682497,94943573.5990554
"1107","El Salvador",2041,"Latin America and Caribbean",29743482.8522017,29748168.4280281,29746726.6496154,29750317.7872566,13.4547873395055,91816274320.4827,191523573408.963,0.516049904761905,44.2837104854542,1.58346813338812,900.271691786583,6685851,95310251.5807416
"1108","El Salvador",2042,"Latin America and Caribbean",29682022.2193956,29686699.9285087,29685261.0825612,29688838.8869329,13.4547873395055,94021954401.3227,194301079191.393,0.516049904761905,45.0807433296009,1.57911269853396,905.786652415239,6687494,95653848.5134521
"1109","El Salvador",2043,"Latin America and Caribbean",29578092.4172975,29582758.2403084,29581323.8694871,29584884.3175578,13.4547873395055,96280620999.5858,197236479248.968,0.516049904761905,45.9129598489413,1.57476924359424,911.335397057115,6687400,95973749.8980581
"1110","El Salvador",2044,"Latin America and Caribbean",29428955.4005941,29433604.9619237,29432176.7306791,29435715.5859411,13.4547873395055,98593546997.5242,200329008091.169,0.516049904761905,46.7851401317776,1.57043773561742,916.918132669179,6685791,96272905.6936717
"1111","El Salvador",2045,"Latin America and Caribbean",29259467.7901033,29264099.8924031,29262678.4653018,29266196.1060565,13.4547873395055,100962035855.531,203578109765.603,0.516049904761905,47.679373603567,1.56611814174257,922.535067476201,6682446,96547906.6731851
