"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level"
"3107","Senegal",2026,"Sub-Saharan Africa",32945603.7992655,32950400.2828928,32948231.0988836,32953334.5064398,19.2673140812019,80888344422.8824,181686185924.06,0.48618,29.3506949852406
"3108","Senegal",2027,"Sub-Saharan Africa",33754095.3652415,33759342.1366877,33756954.6698826,33762583.5826296,19.2673140812019,85056520810.9935,188186888002.899,0.48618,29.9554842254279
"3109","Senegal",2028,"Sub-Saharan Africa",34569220.0078829,34574814.3297662,34572256.9754831,34578293.9713383,19.2673140812019,90280605558.3999,195165650613.951,0.48618,30.8460314142623
"3110","Senegal",2029,"Sub-Saharan Africa",35397855.8860767,35403705.2152762,35401024.4436825,35407356.7220087,19.2673140812019,95825548262.2319,202802015910.601,0.48618,31.7336350810673
"3111","Senegal",2030,"Sub-Saharan Africa",36244969.4085208,36251011.1571861,36248239.319479,36254787.9003853,19.2673140812019,101711055690.886,211124924468.789,0.48618,32.6165639347701
"3112","Senegal",2031,"Sub-Saharan Africa",37101546.074344,37107744.466525,37104900.2611927,37111619.3177961,19.2673140812019,107958044982.372,220165666800.619,0.48618,33.4993521445633
"3113","Senegal",2032,"Sub-Saharan Africa",37977071.7643173,37983408.9846103,37980502.1084769,37987367.9676804,19.2673140812019,114588717983.981,229957999063.266,0.48618,34.3785746460211
"3114","Senegal",2033,"Sub-Saharan Africa",38858126.3761729,38864595.9880449,38861630.214367,38868633.623632,19.2673140812019,121626640157.816,240538267305.699,0.48618,35.2609790325922
"3115","Senegal",2034,"Sub-Saharan Africa",39756007.7751112,39762610.5831423,39759585.7491008,39766726.9147562,19.2673140812019,129096824332.627,251945540706.034,0.48618,36.1425279617505
"3116","Senegal",2035,"Sub-Saharan Africa",40676584.8078873,40683323.6897623,40680238.5300923,40687520.4542041,19.2673140812019,137025819599.59,264221754283.757,0.48618,37.0216197944329
"3117","Senegal",2036,"Sub-Saharan Africa",41602442.755313,41609319.2988893,41606173.1332967,41613597.3333533,19.2673140812019,145441805667.98,277411861604.163,0.48618,37.9070128839994
"3118","Senegal",2037,"Sub-Saharan Africa",42549241.4412668,42556258.2507288,42553049.9326379,42560618.9986301,19.2673140812019,154374693016.073,291563998027.376,0.48618,38.7928699167091
"3119","Senegal",2038,"Sub-Saharan Africa",43502578.9555204,43509737.1082297,43506466.1900283,43514181.1041889,19.2673140812019,163856229193.21,306729655091.305,0.48618,39.686690456984
"3120","Senegal",2039,"Sub-Saharan Africa",44471987.4740947,44479289.4998821,44475954.8602017,44483818.1581682,19.2673140812019,173920111650.828,322963866657.01,0.48618,40.5853800145259
"3121","Senegal",2040,"Sub-Saharan Africa",45492180.669843,45499632.0228703,45496231.1609928,45504248.4966176,19.2673140812019,184602107503.46,340325407486.301,0.48618,41.4746754576021
"3122","Senegal",2041,"Sub-Saharan Africa",46535371.996176,46542974.6164356,46539506.6271891,46547679.9568235,19.2673140812019,195940180645.328,358877004965.196,0.48618,42.368053154082
"3123","Senegal",2042,"Sub-Saharan Africa",47587213.4326866,47594968.9314043,47591433.1304409,47599763.9610154,19.2673140812019,207974626674.315,378685564733.146,0.48618,43.2729939703074
"3124","Senegal",2043,"Sub-Saharan Africa",48644187.5540371,48652096.489798,48648492.657554,48656981.4629066,19.2673140812019,220748216102.821,399822411027.036,0.48618,44.1921491499291
"3125","Senegal",2044,"Sub-Saharan Africa",49713938.2948031,49722002.5110505,49718329.8676275,49726978.5139932,19.2673140812019,234306346364.491,422363542600.865,0.48618,45.1232214598944
"3126","Senegal",2045,"Sub-Saharan Africa",50786697.154468,50794919.161769,50791176.5960636,50799987.6674324,19.2673140812019,248697203157.038,446389905137.057,0.48618,46.0715841954438
"3127","Senegal",2046,"Sub-Saharan Africa",51844083.3373119,51852462.4224605,51848650.2974145,51857622.8721457,19.2673140812019,263971931694.575,471987681123.635,0.48618,47.0463830004547
"3128","Senegal",2047,"Sub-Saharan Africa",52896922.8263317,52905460.1061834,52901577.9611332,52910713.0581586,19.2673140812019,280184818478.098,499248598233.263,0.48618,48.0438760407308
"3129","Senegal",2048,"Sub-Saharan Africa",53970703.0414413,53979398.5293144,53975446.3729294,53984744.2901771,19.2673140812019,297393484230.12,528270257305.62,0.48618,49.0538257467417
"3130","Senegal",2049,"Sub-Saharan Africa",55129643.3195721,55138503.9826136,55134478.5018618,55143947.5744177,19.2673140812019,315659088679.154,559156481103.986,0.48618,50.0488447803558
"3131","Senegal",2050,"Sub-Saharan Africa",56319811.1357037,56328839.9396928,56324739.7524158,56334383.2639142,19.2673140812019,335046547921.854,592017685090.459,0.48618,51.0537544105187
"3132","Serbia",2020,"Europe and central Asia",47141576.3643681,47141576.3643681,47141576.3643681,47141576.3643681,14.7302037348982,1.26e+11,523658008743.321,0.60268,66.0011206571755
"3133","Serbia",2021,"Europe and central Asia",47052776.4317743,47058065.7967321,47056510.7602178,47060026.4850964,14.7302037348982,1.35513e+11,516035165012.126,0.60268,71.4801639569558
"3134","Serbia",2022,"Europe and central Asia",47028426.8060105,47036656.1177935,47034462.151715,47039160.9333863,14.7302037348982,138563397630,510194747748.793,0.60268,73.443381803953
"3135","Serbia",2023,"Europe and central Asia",46943788.6539087,46953521.019094,46951125.1866337,46956137.0168591,14.7302037348982,141295867831.264,505095681134.249,0.60268,75.2728446750662
"3136","Serbia",2024,"Europe and central Asia",46763241.3557649,46773672.5233303,46771237.1092882,46776324.5744942,14.7302037348982,145534743866.202,500654066278.074,0.60268,77.9844906248084
"3137","Serbia",2025,"Europe and central Asia",46586527.2245376,46597279.3321136,46594826.9162916,46599995.9442304,14.7302037348982,152028504137.512,497058927240.725,0.60268,81.8843873596513
"3138","Serbia",2026,"Europe and central Asia",46396357.3934129,46407232.4522542,46404759.7764137,46410018.4224209,14.7302037348982,158108124017.971,494600089273.262,0.60268,85.5375098213372
"3139","Serbia",2027,"Europe and central Asia",46237889.5591595,46248796.3349414,46246303.7931852,46251636.1807749,14.7302037348982,164495692228.297,493159733598.871,0.60268,89.2803112569243
"3140","Serbia",2028,"Europe and central Asia",46042449.2256039,46053334.3614073,46050831.0678164,46056206.8538147,14.7302037348982,170127576242.022,492732297519.287,0.60268,92.6049464577937
"3141","Serbia",2029,"Europe and central Asia",45771845.9097424,45782657.1731003,45780158.2867398,45785539.0958849,14.7302037348982,175952280609.365,493155821233.017,0.60268,96.0835348720757
"3142","Serbia",2030,"Europe and central Asia",45453440.7854588,45464148.8171315,45461664.2060973,45467024.0910227,14.7302037348982,181976406973.519,494416159581.325,0.60268,99.6909773617242
"3143","Serbia",2031,"Europe and central Asia",45141129.513372,45151712.0610476,45149250.3885727,45154565.3059283,14.7302037348982,188206782999.943,496500847098.906,0.60268,103.360507336118
"3144","Serbia",2032,"Europe and central Asia",44845783.40093,44856226.0102537,44853793.6028583,44859045.3555767,14.7302037348982,194650470114.745,499399047322.75,0.60268,107.075134861734
"3145","Serbia",2033,"Europe and central Asia",44504003.1391546,44514290.128112,44511891.9909874,44517067.5362572,14.7302037348982,201314771508.011,503101505775.452,0.60268,110.92684901698
"3146","Serbia",2034,"Europe and central Asia",44115057.5151452,44125174.7208424,44122814.2618917,44127906.5430453,14.7302037348982,208207240411.143,507600506478.254,0.60268,114.925977361731
"3147","Serbia",2035,"Europe and central Asia",43694300.1706861,43704237.4236592,43701916.9328081,43706921.6455023,14.7302037348982,215335688657.592,512889831857.712,0.60268,119.057848825045
"3148","Serbia",2036,"Europe and central Asia",43296341.6471786,43306108.4784193,43303825.6738934,43308748.1971416,14.7302037348982,222708195536.69,518964725918.036,0.60268,123.237029694641
"3149","Serbia",2037,"Europe and central Asia",42925171.1281726,42934768.982686,42932523.765296,42937364.6014934,14.7302037348982,230333116950.607,525821860559.004,0.60268,127.452948766345
"3150","Serbia",2038,"Europe and central Asia",42511471.0550197,42520879.939562,42518677.1107253,42523426.3557248,14.7302037348982,238219094884.821,533459304926.819,0.60268,131.830714921203
"3151","Serbia",2039,"Europe and central Asia",42042177.2633385,42051379.2931935,42049222.7554841,42053872.5002194,14.7302037348982,246375067202.831,541876497692.443,0.60268,136.40832835052
"3152","Serbia",2040,"Europe and central Asia",41516632.2722227,41524899.1611539,41522915.6220492,41527208.4381845,14.7302037348982,254810277776.214,551074222158.79,0.60268,141.204728507132
"3153","Serbia",2041,"Europe and central Asia",40977337.1464659,40985392.9482673,40983458.03296,40987645.8166929,14.7302037348982,263534286961.506,561054584104.747,0.60268,146.148565681502
"3154","Serbia",2042,"Europe and central Asia",40475870.8366056,40483713.1143716,40481827.6770448,40485908.3980601,14.7302037348982,272556982435.787,571820992280.251,0.60268,151.132450744679
"3155","Serbia",2043,"Europe and central Asia",39969158.7153187,39976791.4454869,39974954.6816941,39978930.3477001,14.7302037348982,281888590403.24,583378141472.721,0.60268,156.250910229361
"3156","Serbia",2044,"Europe and central Asia",39441630.2601918,39448466.5575274,39446770.719051,39450467.6267469,14.7302037348982,291539687185.399,595731998070.914,0.60268,161.54903768122
"3157","Serbia",2045,"Europe and central Asia",38885342.1891413,38891316.3579098,38889825.0451059,38893107.3624459,14.7302037348982,301521211208.211,608889788057.863,0.60268,167.060114686697
"3158","Serbia",2046,"Europe and central Asia",38312987.4777078,38318108.7661399,38316823.6957244,38319675.0838072,14.7302037348982,311844475399.505,622859987369.872,0.60268,172.766633173655
"3159","Serbia",2047,"Europe and central Asia",37749678.1838421,37754649.7654294,37753401.608771,37756171.3386121,14.7302037348982,322521180010.915,637652314563.75,0.60268,178.610451861055
"3160","Serbia",2048,"Europe and central Asia",37176424.0903546,37181249.1823387,37180037.9379422,37182725.64096,14.7302037348982,333563425878.79,653277725739.368,0.60268,184.652359797967
"3161","Serbia",2049,"Europe and central Asia",36607324.6288611,36612008.8713073,36610835.4261566,36613438.7608715,14.7302037348982,344983728139.124,669748411669.452,0.60268,190.860571996546
"3162","Serbia",2050,"Europe and central Asia",36047421.6774267,36051955.3300839,36050821.3045069,36053337.0203455,14.7302037348982,356795030412.046,687077797093.12,0.60268,197.225315622664
"3163","Sierra Leone",2020,"Sub-Saharan Africa",16749642.378666,16749642.378666,16749642.378666,16749642.378666,4.46993378943171,13061999010,15431736754.5156,0.54757,35.5481024245887
