"","location","region","gdp_dif","gdp_dif_lower","gdp_dif_upper","gdp_dif002","gdp_dif002_lower","gdp_dif002_upper","gdp_dif003","gdp_dif003_lower","gdp_dif003_upper","gdp_dif005","gdp_dif005_lower","gdp_dif005_upper","gdp_dif_prop","gdp_dif_prop_lower","gdp_dif_prop_upper","gdp_dif_prop002","gdp_dif_prop002_lower","gdp_dif_prop002_upper","gdp_dif_prop003","gdp_dif_prop003_lower","gdp_dif_prop003_upper","gdp_dif_prop005","gdp_dif_prop005_lower","gdp_dif_prop005_upper","gdp_dif_perc","gdp_dif_perc_lower","gdp_dif_perc_upper","gdp_dif_perc002","gdp_dif_perc002_lower","gdp_dif_perc002_upper","gdp_dif_perc003","gdp_dif_perc003_lower","gdp_dif_perc003_upper","gdp_dif_perc005","gdp_dif_perc005_lower","gdp_dif_perc005_upper","inc","dea","pop","gdp_pc","le","gdp_sq","gdp_sq002","gdp_sq003","gdp_sq005","pop_m"
"172","Sri Lanka","South Asia",10055668721.4708,8933426945.51489,11559745093.4939,6690163696.8759,5933627858.03759,7703901957.44869,5518568951.78949,4890087142.63818,6360635709.0058,3839247285.17598,3395406598.13372,4433811034.87209,0.000640797304310764,0.000569282467780599,0.000736644543451807,0.000607418506760259,0.000538730520881471,0.000699458613457559,0.000589800595420976,0.000522631199063521,0.000679797020060981,0.000553482974219731,0.000489496925576183,0.000639197930329925,455.065807289348,404.279144174763,523.132262879525,302.761042347805,268.524274830873,348.637416431475,249.740927698411,221.29920096994,287.848367320598,173.743806961503,153.657950301817,200.650583649833,0.0258884506681261,8.02312216005858e-05,21616166,13739.7168397023,76.008,15552209819986,11135832008869.2,9553726975940.95,7221618068447.31,"22097174.8709677"
"173","Sudan","Sub-Saharan Africa",1205990740.35294,969362790.990021,1533150206.73105,826380537.686939,655981256.565154,1061856659.65285,692211852.328742,545964701.122272,894255063.869178,496945455.840319,386915753.187052,648858351.628628,0.000245394039595558,0.000197245172085691,0.000311964188403629,0.000227150356705279,0.000180312059185015,0.000291876572608002,0.000218162155896051,0.000172069917380454,0.000281839457094427,0.000200787260343198,0.000156330545239991,0.000262166580342327,19.0714378476821,15.3294230226109,24.2451105970143,13.0683134917091,10.3736333499256,16.7921134135657,10.9465809955166,8.63384063913669,14.1416756363858,7.85865434752266,6.11865372783581,10.260992320234,0.018801755625435,3.52205430910026e-05,42636118,4198.31843039744,65.876,4914507061135.53,3710793857719.2,3268111304502.88,2598734241109,"63235438.7741935"
"174","Suriname",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0116410720013551,5.9901293138936e-05,596796,18557.3303339835,72.242,337815434672.876,251380348638.487,219784225976.922,172285730085.507,"673914.612903226"
"175","Sweden","Europe and central Asia",41745793617.761,41646878860.047,41858111646.5811,27849267035.8033,27778962861.5922,27928547826.8375,23001170132.8787,22941063938.6636,23068693205.19,16038224163.5483,15993100011.8687,16088504897.2084,0.0018036217409377,0.00179934814132319,0.00180847442718758,0.00168018901471046,0.00167594745599921,0.00168497214648919,0.00161705668163652,0.00161283102170697,0.00162180377209387,0.00149089650653164,0.0014867018126919,0.00149557055082703,3732.10219262884,3723.25914636823,3742.14350039435,2489.74331447869,2483.45807373979,2496.83107083473,2056.32017136748,2050.94663693968,2062.35677971498,1433.82809091418,1429.79396122518,1438.32322252092,0.0611241185866694,0.000206469308844763,10214429,53160.0934325355,83.1097561,23145536932847.9,16906581419004.4,14650819297743.2,11295308090098,"11185597.6774194"
"176","Switzerland","Europe and central Asia",43590956268.0409,43207632293.0072,44008021073.1621,29541845450.2709,29266667408.9746,29840491003.9371,24599962013.5736,24363722974.8826,24855976526.0068,17444177513.7658,17265688527.0129,17636987650.7458,0.00175475391752922,0.00173932321115202,0.00177154286100065,0.00165429891015947,0.00163888935375303,0.00167102261196021,0.00160225451354101,0.00158686769847973,0.00161892935262619,0.00149697546723042,0.00148165840031058,0.00151352150642686,4704.48617851164,4663.11653451141,4749.49724913765,3188.25773754406,3158.55957529344,3220.48859457912,2654.91265144869,2629.41692051054,2682.54261964288,1882.63573536656,1863.37258899206,1903.4444696123,0.0865076167710469,0.000249853395731598,8544746,70218.5881242111,83.90487805,24841634962365.1,18214774956462.7,15813942578937.4,12235595566132.8,"9265827.25806452"
"177","Syrian Arab Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022962724593195,2.35972898726711e-05,19710460,NA,71.822,NA,NA,NA,NA,"31251142.0322581"
"178","Taiwan (Province of China)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0151748621148539,9.98379011557131e-05,23754579,51358.5191301433,NA,63475163888212.5,45706895171800.8,39327519400191,29903108141890.4,"23645930.9032258"
"179","Tajikistan","Europe and central Asia",2766283527.9349,2082271634.2535,3660336989.93064,1741387211.64311,1308262498.44294,2306886373.12098,1395127950.93041,1046923672.70974,1849444447.53906,913342455.109674,683549975.165026,1212672605.3862,0.000798191255516899,0.000600824533453659,0.00105616396443237,0.000752849346051686,0.000565597679729928,0.00099733010889689,0.000728539416566486,0.000546706243822967,0.00096578466361,0.000677482115064188,0.000507030939311003,0.000899513645710019,224.914112172295,169.300171580497,297.605591049536,141.584387391876,106.368958696459,187.562589030853,113.431599213011,85.120670380253,150.370036812806,74.2597804331398,55.5763840680522,98.596973029628,0.0223532238219171,4.67231369966656e-05,9231189,3616.26420518527,70.867,3465690094717.32,2359323236702.43,1972414610359.22,1415549660339.44,"12299288.3870968"
"180","Thailand","East Asia and Pacific",28734395629.0903,24181799376.5107,33538921711.9001,19105966473.6985,16010509901.2224,22373685686.1261,15758647453.7961,13174927220.7031,18486510692.4337,10966182220.402,9122781866.76004,12912856199.0376,0.000463640439571198,0.000390182561598665,0.000541163301500128,0.000438691684351548,0.000367616972717045,0.000513721714748659,0.000425628956926641,0.000355844659065677,0.000499306446590905,0.000398899060235323,0.000331844669388415,0.000469710068574908,404.453628131326,340.373140915205,472.080176840662,268.927788111181,225.357404462901,314.922870389604,221.812291422539,185.444899679215,260.208581295993,154.355506308286,128.408555108997,181.756094913355,0.0206825853935814,9.03008857302135e-05,71226152,17970.9273077114,78.975,61975602593392.3,44423194006922.6,38135109496808.8,28865676756995.5,"71044969.3870968"
"181","Timor-Leste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0108752332971834,5.69030053401499e-05,1271121,3767.8511306162,68.268,403721407994.209,282545067249.274,239655817587.027,177180372668.589,"1565378.09677419"
