"","location","region","gdp_sq","gdp_sq002","gdp_sq003","gdp_sq005","gdp_dif","gdp_dif_lower","gdp_dif_upper","gdp_dif002","gdp_dif002_lower","gdp_dif002_upper","gdp_dif003","gdp_dif003_lower","gdp_dif003_upper","gdp_dif005","gdp_dif005_lower","gdp_dif005_upper","gdp_dif_prop","gdp_dif_prop_lower","gdp_dif_prop_upper","gdp_dif_prop002","gdp_dif_prop002_lower","gdp_dif_prop002_upper","gdp_dif_prop003","gdp_dif_prop003_lower","gdp_dif_prop003_upper","gdp_dif_prop005","gdp_dif_prop005_lower","gdp_dif_prop005_upper","pop","gdp_dif_perc","gdp_dif_perc_lower","gdp_dif_perc_upper","gdp_dif_perc002","gdp_dif_perc002_lower","gdp_dif_perc002_upper","gdp_dif_perc003","gdp_dif_perc003_lower","gdp_dif_perc003_upper","gdp_dif_perc005","gdp_dif_perc005_lower","gdp_dif_perc005_upper"
"39","Fiji","East Asia and Pacific",559080598686.817,394916499951.514,336495497705.102,250820025157.848,29520097177.6208,29503477659.3952,29543123501.2951,20525528475.9995,20514276560.2923,20541106918.3479,17346228964.8767,17336861012.4343,17359194096.5025,12715759197.1896,12709114463.8005,12724948053.8122,0.0528011475392964,0.0527714210235407,0.0528423335932006,0.0519743502196528,0.0519458583341313,0.0520137976530984,0.051549661386788,0.0515218216311113,0.0515881912682105,0.0506967463590167,0.0506702543220076,0.0507333816181704,1011392.48387097,29187.578164153,29171.1458507923,29210.345115699,20294.3256978149,20283.2005254544,20309.7286621407,17150.8383159882,17141.5758856342,17163.657406334,12572.5268874075,12565.9570013394,12581.6122393051
"40","Finland","Europe and central Asia",10809232376672.8,7756568642478.89,6663458520962.19,5050359545269.76,5553498123550.78,5553357728496.99,5553645540654.7,4013027076720.55,4012928567361.62,4013130090187.72,3458517580649.56,3458433979618.76,3458604818661.83,2636232524844.54,2636170782928.47,2636296675859.16,0.513773590022514,0.51376060158366,0.513787228095856,0.51737143854348,0.517358738422657,0.517384719347392,0.519027404428137,0.519014858236015,0.519040496430135,0.521989078443667,0.521976853192075,0.522001780710515,5536146.5483871,1003134.23335384,1003108.87364694,1003160.86146106,724877.320649993,724859.526800414,724895.928081403,624715.684532803,624700.583590284,624731.442427126,476185.466154717,476174.313647187,476197.053820264
"41","France","Europe and central Asia",121173766063934,87200941181950.9,75010291643391,56984475692046.3,79604037188132.7,79602347561563.2,79605825309243.4,56047596010967.2,56046406853354,56048850673344.6,47678643749344.7,47677632953816.5,47679708479478.6,35427167923945.9,35426419027539.7,35427954069875.9,0.656941182682494,0.65692723885105,0.65695593935111,0.642740723337148,0.642727086355745,0.642755111511867,0.63562802789803,0.635614552473444,0.635642222352025,0.621698585337527,0.621685443224748,0.621712381128757,65621076.8709677,1213086.41954566,1213060.67131582,1213113.66873443,854109.665423122,854091.543842833,854128.785230922,726575.149674797,726559.746155434,726591.375103953,539874.833105942,539863.420668934,539886.813188676
"42","Gabon","Sub-Saharan Africa",1372719416537.48,985379773597.31,846500221571.51,641319427176.864,45349320459.4303,45303267839.892,45417122592.0825,31219694545.8237,31188650649.7507,31265399687.5064,26246648917.4217,26220865058.3608,26284609702.1091,19035815149.0507,19017621800.0431,19062600255.7778,0.0330361178789315,0.0330025694210431,0.0330855104436723,0.0316829058017402,0.0316514013027594,0.0317292890774146,0.031006074480046,0.0309756151152357,0.0310509188684112,0.0296822680592225,0.029653899436292,0.0297240336842637,2999151.38709677,15120.7173650975,15105.362148373,15143.3244708754,10409.5093966046,10399.1585032798,10424.7487546042,8751.35847771556,8742.7614261723,8764.01565295877,6347.06711736805,6341.00095175672,6355.99801256806
"43","Gambia","Sub-Saharan Africa",382967090431.609,262428062349.424,220228014527.993,159328857177.374,17259421787.9887,17239351197.3125,17288773935.4383,11674471752.8811,11661372487.9892,11693611528.9755,9728708424.89563,9718007572.06557,9744335853.19627,6935005078.94664,6927703471.44791,6945656188.17735,0.0450676369307271,0.0450152287965097,0.0451442809771294,0.0444863695153779,0.0444364538745938,0.0445593029353904,0.0441756170110639,0.0441270271309208,0.0442465772307895,0.0435263592660192,0.0434805319901064,0.0435932091099169,3588925.70967742,4809.07747447913,4803.48510720831,4817.25600750656,3252.91541181844,3249.26549929543,3258.24842164998,2710.75781776772,2707.77618657898,2715.11216488014,1932.33453126283,1930.30004849852,1935.30230214814
"44","Germany","Europe and central Asia",172782208657028,124492144757009,107158537375571,81519740411403.8,104340821528467,104339151020700,104342745872482,73481142082646.3,73479952322523.4,73482507127594.4,62510602441041.5,62509584635341.1,62511767630815.9,46442014103960.5,46441249781144.5,46442885015847.3,0.603886374294376,0.603876706008619,0.60389751169116,0.590247217814996,0.590237660905801,0.59025818272327,0.583346917305836,0.583337419176005,0.583357790819071,0.569702674095657,0.569693298172572,0.569713357543401,81828350.1290323,1275118.23669835,1275097.82191834,1275141.75353588,897991.245904096,897976.706198468,898007.92771359,763923.5343554,763911.096053775,763937.773794085,567554.08157109,567544.741008622,567564.724726982
"45","Ghana","Sub-Saharan Africa",12709467774203.5,8606195059850.71,7179637072409.45,5135012604797.99,724511620422.283,723925519557.807,725351149082.108,480382194008.807,480001816142.767,480926556037.407,396251819275.162,395941996406.05,396694977541.407,276754756334.945,276544612365.084,277054978270.168,0.0570056617077884,0.0569595464120979,0.0570717170827844,0.0558181856985635,0.055773987552531,0.0558814380446717,0.0551910654088511,0.0551479124101706,0.0552527897358297,0.0538956332991966,0.0538547095496298,0.053954098965852,41861381.2258065,17307.3988293449,17293.3978373252,17327.4537973187,11475.5457164099,11466.4591106912,11488.5496358378,9465.80852499159,9458.40736286937,9476.39485189405,6611.21893809688,6606.198942012,6618.39074959549
"46","Greece","Europe and central Asia",12119031077235.1,8798844517473.89,7600613696652.16,5819067721526.61,3500838361704.47,3500782849219.04,3500900562204.82,2519820305373.45,2519779411808.04,2519865897708.63,2167309239218.03,2167273677468.4,2167348781779.07,1645448277972.33,1645420725018.51,1645478747265.78,0.288871143195646,0.288866562591382,0.288876275660441,0.286380819705276,0.286376172098954,0.286386001332829,0.285149242642428,0.285144563842656,0.285154445190883,0.282768367153605,0.282763632210632,0.282773603266142,9863379.93548387,354932.932179777,354927.304039546,354939.238385232,255472.294675409,255468.1486762,255476.917059975,219732.916443891,219729.311011487,219736.925471354,166823.978061797,166821.184602151,166827.067194898
"47","Guatemala","Latin America and Caribbean",7992019572506,5606752133881.55,4761820228527.16,3528231221590.83,893485343865.141,893338206593.291,893651555538.349,617761933067.79,617661784750.971,617874922629.856,520784657225.331,520701027295.055,520878951603.821,380197310656.739,380137597456.951,380264556401.487,0.111797191655898,0.111778781131435,0.111817988861373,0.110181780523997,0.110163918432999,0.11020193293298,0.109366719496341,0.109349156899211,0.109386521667352,0.107758615231944,0.107741690831009,0.10777767456806,21066033.6774194,42413.5533791947,42406.5688051594,42421.4434108805,29325.0235202067,29320.2695015645,29330.3871099453,24721.5334979531,24717.5636034985,24726.0096314262,18047.8829797121,18045.0484072101,18051.0751204718
"48","Haiti","Latin America and Caribbean",1148910573517.21,836776418205.859,724099588927.938,556515037050.479,47366372212.8811,47322835640.2347,47430564469.7968,33891981047.6057,33862125434.3103,33935930550.1388,29073444494.8459,29048420281.0366,29110244429.2866,21972448427.2379,21954451078.2779,21998850154.0879,0.0412272054106669,0.0411893116235872,0.04128307769385,0.0405030308099192,0.0404673514902755,0.0405555532060777,0.0401511683467331,0.0401166092692361,0.0402019899947542,0.0394822187441539,0.0394498793682847,0.039529659918412,13240483.0645161,3577.39003796779,3574.10189716248,3582.23821885386,2559.72390753889,2557.46903412152,2563.04323526425,2195.79937931128,2193.90940190733,2198.57872914779,1659.48993855995,1658.13067176641,1661.4839539385
