"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc","gdp_cf","gdp_cf_lower","gdp_cf_upper","cs_cf","cs_cf_lower","cs_cf_upper"
"358","Benin",2036,"Sub-Saharan Africa",55631218.6091036,59293784.9566245,59291071.0876132,59297782.6047583,16.1951022992641,100283003398.487,162245692219.707,0.61716,85.0009585706695,0.650784247641457,72.2403109885304,18660957,8773048.92400407,105875324335.494,105871299154.778,105881228470.492,168691731232,168687425928.533,168697968614.724
"359","Benin",2037,"Sub-Saharan Africa",57238133.264316,60984054.3779735,60981370.307222,60988044.8838237,16.1951022992641,105933059499.044,170374342597.881,0.61716,86.5899671410052,0.65062880679849,71.6157999917703,19087578,8893914.70836775,111878316383.514,111874132588.081,111884495938.279,177405182560.459,177400440640.03,177412064254.749
"360","Benin",2038,"Sub-Saharan Africa",58876508.2274465,62706757.41751,62704021.0178712,62710823.2042541,16.1951022992641,111901446052.994,179011592822.597,0.61716,88.203383251304,0.65047340308281,70.9966878364567,19519159,9014232.04856899,118217216222.135,118212775858.856,118223774566.911,186655171600.026,186649989205.668,186662709994.818
"361","Benin",2039,"Sub-Saharan Africa",60547201.0296128,64462594.9527914,64459805.6176248,64466736.8365723,16.1951022992641,118206098152.619,188183566844.105,0.61716,89.842504162106,0.650318036485554,70.3829278500906,19954981,9133651.71242173,124910561001.744,124905851913.469,124917515839.328,196469271986.643,196463629590.628,196477495592.341
"362","Benin",2040,"Sub-Saharan Africa",62243188.5005228,66244942.3726284,66242099.1624824,66249161.5266367,16.1951022992641,124865961373.273,197917987021.685,0.61716,91.515768562258,0.650162706997855,69.7744737636522,20397076,9253084.7256674,131979218943.974,131974227594.096,131986589828.162,206876680728.367,206870557810.489,206885619496.841
"363","Benin",2041,"Sub-Saharan Africa",63977233.3440963,68066320.0530005,68063422.8814196,68070616.6019262,16.1951022992641,131901048705.128,208244257851.962,0.61716,93.2135563426872,0.650007414610849,69.1712797081135,20844218,9371944.92367042,139442915141.949,139437629089.047,139450720226.174,217908514760.232,217901889634.029,217918200312.517
"364","Benin",2042,"Sub-Saharan Africa",65748919.0408992,69926033.7299879,69923081.9878479,69930408.5095908,16.1951022992641,139332500692.51,219193554730.962,0.61716,94.9383731841076,0.649852159315676,68.57330021098,21294984,9489578.78111526,147323427167.726,147317832722.669,147331686355.318,229597529574.603,229590379623.035,229607994890.649
"365","Benin",2043,"Sub-Saharan Africa",67551999.9806813,71818072.5887352,71815065.8269153,71822526.1484481,16.1951022992641,147182648961.559,230798918017.688,0.61716,96.6978193736991,0.64969694110347,67.980490192863,21750576,9606515.24621855,155644906137.313,155638988795.618,155653640445.933,241978369683.459,241970671203.37,241989649317.582
"366","Benin",2044,"Sub-Saharan Africa",69378506.1777022,73734123.0320017,73731073.1218082,73738642.0029722,16.1951022992641,155475083327.102,243095352682.895,0.61716,98.5007815268673,0.649541759965384,67.392804964081,22209560,9722110.77084631,164432287376.916,164426048397.296,164441500397.964,255087858756.789,255079586881.163,255099988939.422
"367","Benin",2045,"Sub-Saharan Africa",71216773.7433185,75662639.3848896,75659534.9888307,75667236.2991696,16.1951022992641,164234722680.407,256119933843.441,0.61716,100.359116197283,0.649386615892553,66.8102002212905,22672397,9836566.77021711,173712898110.927,173706306527.087,173722629880.519,268965017478.446,268956148787.47,268978033210.131
"368","Benin",2046,"Sub-Saharan Africa",73083661.0279317,77620536.3172327,77617377.787674,77625210.6701372,16.1951022992641,173487889870.828,269911918500.273,0.61716,102.259761961548,0.64923150887613,66.2326320441468,23139229,9949940.58082922,183513031185.002,183506071326.754,183523304555.208,283651341202.656,283641848432.482,283665282217.798
"369","Benin",2047,"Sub-Saharan Africa",74970847.5292967,79598997.5836947,79595784.8750252,79603749.3565748,16.1951022992641,183262390806.37,284512863816.675,0.61716,104.21167289914,0.649076438907262,65.6600568919925,23607520,10061146.3371652,193861853893.813,193854508260.096,193872694252.901,299190508678.47,299180363390.642,299205416425.669
"370","Benin",2048,"Sub-Saharan Africa",76871374.6744962,81590932.9672961,81587666.3573586,81595761.6803472,16.1951022992641,193587598010.863,299966752293.01,0.61716,106.222458213055,0.648921405977102,65.0924316005752,24076602,10169925.922779,204790595300.821,204782845567.947,204802029240.167,315628738214.841,315617910558.51,315644656181.924
"371","Benin",2049,"Sub-Saharan Africa",78775214.5224624,83586640.4240209,83583334.4366209,83591527.5859238,16.1951022992641,204494538888.843,316320124214.907,0.61716,108.302220156054,0.648766410076799,64.5297133787936,24549874,10277733.6762618,216333306062.686,216325155093.878,216345333682.009,333014994742.246,333003453391.564,333031968549.149
"372","Benin",2050,"Sub-Saharan Africa",80666443.4834043,85569467.4215591,85566161.8541926,85574364.9601137,16.1951022992641,216015988963.373,333622217773.618,0.61716,110.465934475743,0.648611451197513,63.9718598054718,25025438,10383775.1650818,228524950570.503,228516443864.569,228537522382.807,351401309718.849,351389025377.964,351419382720.66
"373","Bolivia (Plurinational State of)",2020,"Latin America and Caribbean",50898928.9573078,58504086.3891834,58504086.3891834,58504086.3891834,19.7557751815596,91668926759,214026025181.56,0.42857,15.3034553958231,1.6703795912727,649.8709767,11862346,128769468.832138,97306312235.5675,97306312235.5675,97306312235.5675,214026025181.56,214026025181.56,214026025181.56
"374","Bolivia (Plurinational State of)",2021,"Latin America and Caribbean",52070251.4968214,59891437.9602986,59889681.1854453,59894017.7962078,19.7557751815596,97266231426.9045,221434631004.338,0.42857,15.7706499390432,1.67978531491509,665.417654128887,12009978,134242586.416347,103581421524.901,103580119382.024,103583333691.079,222573779611.972,222573779611.972,222573779611.972
"375","Bolivia (Plurinational State of)",2022,"Latin America and Caribbean",53101179.3139786,61057933.9345956,61055145.8174582,61061903.4233222,19.7557751815596,100649150955.932,229578597462.396,0.42857,15.8520412626171,1.68924400115215,681.336250273555,12148966,139827694.832951,107481041479.045,107478869928.579,107484136110.57,231934924061.267,231934666812.848,231935301824.518
"376","Bolivia (Plurinational State of)",2023,"Latin America and Caribbean",54186390.1471043,62287632.1584038,62284117.1701798,62292604.5864816,19.7557751815596,102460835673.139,237983687574.279,0.42857,15.6727137514507,1.69875594821043,697.635662439025,12299254,145760025.003023,109706805862.444,109703977847.99,109710810917.689,241599514820.635,241598841428.009,241600485064.171
"377","Bolivia (Plurinational State of)",2024,"Latin America and Caribbean",55353260.328264,63618655.2134938,63614562.1863364,63624466.2617441,19.7557751815596,104305130715.256,246326435540.297,0.42857,15.5015685192075,1.70832145599573,714.325000778001,12477888,152267258.660987,111967651330.515,111964258796.976,111972470622.818,251221765027.502,251220566608.329,251223477988.571
"378","Bolivia (Plurinational State of)",2025,"Latin America and Caribbean",56513767.9886935,64944765.3316453,64940192.400744,64951280.5705284,19.7557751815596,106495538460.276,254616400890.22,0.42857,15.3930616757396,1.71794082610263,731.413593382763,12656785,159035702.253855,114598256925.832,114594344531.271,114603831490.823,260810835826.352,260809027106.839,260813415227.92
"379","Bolivia (Plurinational State of)",2026,"Latin America and Caribbean",57662439.9947197,66260280.5690328,66255307.8186747,66267374.0310247,19.7557751815596,108838440306.402,262924600002.313,0.42857,15.313068833291,1.72761436182393,748.910991498872,12835512,166069625.925154,117394135811.779,117389741987.503,117400402769.604,270441486771.084,270438995563.673,270445038501.1
